id,name,x,y,player_id,rank,unknown
348,Barbarian+village,474,554,0,21,0
349,Char+Aznables+village,473,476,10379660,21,0
350,Barbarian+village,470,505,0,21,0
351,ebytzus+village,508,470,848945312,199,0
352,Barbarian+village,531,475,0,27,0
353,CHELIOSTROSs+village,506,476,849049598,21,0
354,lexrians+village,511,472,849054131,21,0
355,Barbarian+village,520,457,0,21,0
356,55%3A13%3A49,562,440,849057332,92,0
357,Barbarian+village,459,485,0,21,0
358,ggoggi5s+village,515,487,9465330,63,0
359,doniusss+village,513,491,11382971,21,0
360,bozeks+village,517,488,11386727,41,0
361,Crnki555s+village,512,489,11409895,126,0
362,Barbarian+village,437,467,0,21,0
363,Divljak+xDs+village,516,495,11446865,21,0
364,Osvajac1s+village,512,487,848919243,74,0
365,Barbarian+village,508,458,0,45,0
366,Lazaa998s+village,509,498,848967443,90,0
367,Barbarian+village,525,501,0,21,0
368,reha1987s+village,510,481,848995097,21,0
369,Barbarian+village,478,499,0,21,0
370,...1...,531,482,849046761,172,0
371,Barbarian+village,481,537,0,21,0
372,bosancheroos+village,515,496,849047168,122,0
373,Barbarian+village,459,465,0,27,0
374,001+Minas+Tirith,573,549,849051259,149,0
375,001+Kings+Landing,525,475,849054193,133,0
376,Barbarian+village,491,561,0,21,0
377,danijel1804s+village,523,481,11470321,171,0
378,Why+so+serious+Rodjeni%3F+%7C+001,522,500,849059912,155,0
379,bh+fanatics+village,499,489,849060777,21,0
380,Captain+Bosnias+village,519,469,849061074,21,0
381,Barbarian+village,537,473,0,21,0
382,Z%C3%BCrich,526,475,295799,155,0
383,Barbarian+village,466,489,0,21,0
384,001_WhiteDeath_,525,476,9285448,112,0
385,Bonus+village,473,469,0,21,9
386,kjpkers+village,529,466,2641078,21,0
387,2Faces+village,518,468,9945728,143,0
388,aiwens07s+village,529,473,11064814,21,0
389,Taadus+village,527,483,11198325,90,0
390,Barbarian+village,475,555,0,21,0
391,Kerto+Joyos+village,523,474,11256533,131,0
392,Barbarian+village,449,477,0,27,0
393,ThunderStorms+village,528,472,11319543,166,0
394,seyfullah3458s+village,531,481,11492683,21,0
395,Diary+of+Jane,511,480,11501849,144,0
396,birdshts+village,513,474,7692895,145,0
397,45%3A92%3A66+Z%C3%BCrich,526,496,11553929,130,0
398,Barbarian+village,479,427,0,21,0
399,Blitzkrieg,538,480,848989639,84,0
400,Desa+Fina,538,461,849039310,124,0
401,Barbarian+village,458,529,0,21,0
402,Christics+village,536,494,849040629,130,0
403,eerieeidolon13s+village,537,490,10746676,21,0
404,spalencs+village,530,489,849048655,21,0
405,Barbarian+village,466,549,0,21,0
406,The+village,540,473,849051189,72,0
407,Trixtrs+village,530,457,849056649,177,0
408,LauriRans+village,527,466,849056596,21,0
409,Barbarian+village,452,483,0,21,0
410,Speno1504s+village,520,472,849059852,21,0
411,Good+Vibes+Only,542,462,849059919,190,0
412,Tumnuss+village,528,482,849061884,140,0
413,Barbarian+village,507,459,0,23,0
414,001-ESL-MaCeSTiC,511,475,849062191,194,0
415,Kralj+crashs+village,531,464,849063234,21,0
416,The+Tender+Loins+village,490,543,11422636,182,0
417,Barbarian+village,491,462,0,21,0
418,Piraat+Henks+village,489,545,849016942,186,0
419,Barbarian+village,471,457,0,21,0
420,Bonus+village,479,511,0,27,2
421,koreckes+village,488,541,849044832,157,0
422,Barbarian+village,539,527,0,21,0
423,joghurtijsjes+village,482,547,849045034,111,0
424,Barbarian+village,482,514,0,22,0
425,McHresvelgs+village,489,534,849045036,157,0
426,Barbarian+village,462,457,0,21,0
427,CrazyHarrys+village,480,541,849051941,98,0
428,Barbarian+village,453,475,0,21,0
429,Allessandra,473,495,7697082,91,0
430,Barbarian+village,520,489,0,23,0
431,gamerson1s+village,475,490,8591277,45,0
432,Barbarian+village,553,527,0,27,0
433,mitchdclarkes+village,464,488,8691630,116,0
434,Barbarian+village,540,557,0,27,0
435,DrifterUSSRs+village,484,489,10365873,49,0
436,Grenade+Launchers+village,474,499,10654945,121,0
437,Barbarian+village,427,476,0,21,0
438,helioCs+village,477,490,345860,184,0
439,blackdejas+village,456,492,10832394,110,0
440,Barbarian+village,497,429,0,27,0
441,N%C3%A4ckrosen,469,501,11481794,47,0
442,halvard45s+village,485,510,11554520,21,0
443,Barbarian+village,550,449,0,21,0
444,L+uchihas+village,458,500,849013851,177,0
445,Barbarian+village,504,509,0,21,0
446,CJ1510s+village,473,517,849058522,93,0
447,Barbarian+village,445,504,0,21,0
448,DONOVANs+village,494,503,11489689,167,0
449,Getafuens+village,497,494,11489779,21,0
450,Barbarian+village,537,507,0,21,0
451,Maese+Zippos+village,500,508,11489784,169,0
452,Barbarian+village,555,455,0,22,0
453,ANCOS,487,507,11489850,164,0
454,Midgar,484,532,11481201,120,0
455,Barbarian+village,508,468,0,21,0
456,JoanTheSlys+village,483,536,849057171,166,0
457,iMReVeNges+village,486,533,11403129,21,0
458,Barbarian+village,516,542,0,21,0
459,Mackiizzs+village,472,523,11566714,81,0
460,orsamannens+village,483,477,198577,67,0
461,Shadow+Maulers+village,482,478,3984013,21,0
462,Barbarian+village,509,472,0,21,0
463,Sir+Anthony+Raymonds+village,488,481,4136278,21,0
464,Barbarian+village,553,522,0,21,0
465,mr.seagrams+village,481,478,9304077,21,0
466,Barbarian+village,525,435,0,21,0
467,kakztar,486,493,10987216,187,0
468,Barbarian+village,500,436,0,23,0
469,Jeagarn32s+village,488,488,849062222,195,0
470,Barbarian+village,562,482,0,27,0
471,byprawiras+village,498,480,11343034,48,0
472,buhteljceks+village,492,462,11388156,21,0
473,Barbarian+village,435,507,0,23,0
